ksource,keywords,knum,nsource,nnum,title,url
NAVER,대한민국 우즈베키스탄,0,NAVER,0,"김학범호, 김재우 동점골로 우즈벡과 1-1 접전(전반 종료)",http://stoo.asiae.co.kr/article.php?aid=58710032092
NAVER,대한민국 우즈베키스탄,0,NAVER,1,기념촬영하는 U-22 축구대표팀 선수들,http://news1.kr/photos/view/?3863813
NAVER,대한민국 우즈베키스탄,0,NAVER,2,"한 골씩 주고받은 한국-우즈베키스탄, 전반 종료 [축구 올림픽대표]",http://sports.hankooki.com/lpage/soccer/201910/sp2019101121225498040.htm
NAVER,대한민국 우즈베키스탄,0,NAVER,3,"[한국 우즈베키스탄] 김학범호, '김재우 동점골'로 우즈벡과 1-1 접전(전반 종...",http://www.interfootball.co.kr/news/articleView.html?idxno=332321
NAVER,대한민국 우즈베키스탄,0,NAVER,4,환호의 대표팀,http://www.newsis.com/view/?id=NISI20191011_0015694915
NAVER,대한민국 우즈베키스탄,0,NAVER,5,대표팀 동점골 좋았어,http://www.newsis.com/view/?id=NISI20191011_0015694916
NAVER,대한민국 우즈베키스탄,0,NAVER,6,김재우 동점골 환호,http://www.newsis.com/view/?id=NISI20191011_0015694905
NAVER,대한민국 우즈베키스탄,0,NAVER,7,김재우 동점골 환호,http://www.newsis.com/view/?id=NISI20191011_0015694904
NAVER,대한민국 우즈베키스탄,0,NAVER,8,김재우 동점골 환호,http://www.newsis.com/view/?id=NISI20191011_0015694903
NAVER,대한민국 우즈베키스탄,0,NAVER,9,김재우 동점골 환호,http://www.newsis.com/view/?id=NISI20191011_0015694906
NAVER,대한민국 우즈베키스탄,0,NAVER,10,대표팀 동점골 좋았어,http://www.newsis.com/view/?id=NISI20191011_0015694914
NAVER,대한민국 우즈베키스탄,0,NAVER,11,"동점골 김재우, 기분좋은 손가락 세리머니 [MK포토]",http://sports.mk.co.kr/view.php?year=2019&no=822680
NAVER,대한민국 우즈베키스탄,0,NAVER,12,대한민국 '동점이다',http://news1.kr/photos/view/?3863888
NAVER,대한민국 우즈베키스탄,0,NAVER,13,'손쓸수 없는 김재우의 슈팅',http://news1.kr/photos/view/?3863885
NAVER,대한민국 우즈베키스탄,0,NAVER,14,동점골 넣은 김재우,http://news1.kr/photos/view/?3863886
NAVER,대한민국 우즈베키스탄,0,NAVER,15,[MD포토] 엄원상 '위협적인 헤딩패스',http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112122677747&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,16,"김재우, 동점골 바로 이거야 [MK포토]",http://sports.mk.co.kr/view.php?year=2019&no=822676
NAVER,대한민국 우즈베키스탄,0,NAVER,17,[MD포토] 김재우 '동점골! 우즈베키스탄 비켜',http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112121333374&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,18,[사진]동점골의 기쁨,http://www.osen.co.kr/article/G1111239836
NAVER,대한민국 우즈베키스탄,0,NAVER,19,[MD포토] 김재우 '동점이다',http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112120684924&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,20,"동점골 김재우, 우즈베키스탄 골망을 흔들다 [MK포토]",http://sports.mk.co.kr/view.php?year=2019&no=822674
NAVER,대한민국 우즈베키스탄,0,NAVER,21,[MD포토] 김재우 '동점골 넣고 주먹 불끈',http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112119965035&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,22,[사진]김재우의 동점골로 기뻐하는 축구대표팀,http://www.osen.co.kr/article/G1111239835
NAVER,대한민국 우즈베키스탄,0,NAVER,23,[MD포토] 김재우 '동점골 폭발',http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112118496442&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,24,김재우 '동점골이야',http://news1.kr/photos/view/?3863872
NAVER,대한민국 우즈베키스탄,0,NAVER,25,우즈베키스탄 골망 흔든 김재우,http://news1.kr/photos/view/?3863875
NAVER,대한민국 우즈베키스탄,0,NAVER,26,"'김재우 동점골' 김학범호, 우즈벡전 1-1 균형 맞춰(2보)",http://stoo.asiae.co.kr/article.php?aid=58709974168
NAVER,대한민국 우즈베키스탄,0,NAVER,27,[사진]경고 누적으로 퇴장당하는 우즈베키스탄 루스타모프,http://www.osen.co.kr/article/G1111239834
NAVER,대한민국 우즈베키스탄,0,NAVER,28,"[MD포토] 김재우 '승부는 원점, 동점골'",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201910112117366277&ext=na
NAVER,대한민국 우즈베키스탄,0,NAVER,29,"김재우, 기분좋은 동점골 세리머니 [MK포토]",http://sports.mk.co.kr/view.php?year=2019&no=822663
NAVER,대한민국 우즈베키스탄,0,DAUM,0,[한국 우즈벡]경기 기다리는 김학범 감독,https://cp.news.search.daum.net/p/85085750
NAVER,대한민국 우즈베키스탄,0,DAUM,1,"김학범호, 김재우 동점골로 우즈벡과 1-1 접전(전반 종료)",http://v.media.daum.net/v/20191011213120967?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,2,기념촬영하는 U-22 축구대표팀 선수들,http://v.media.daum.net/v/20191011213036961?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,3,"강성종 신한대 총장, 문희상 국회의장 예방",https://cp.news.search.daum.net/p/85085746
NAVER,대한민국 우즈베키스탄,0,DAUM,4,"U-22 대표팀, 우즈베키스탄과 평가전서 1-1 비긴 채 전반종료",http://v.media.daum.net/v/20191011212835932?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,5,대표팀 동점골 좋았어,http://v.media.daum.net/v/20191011212503881?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,6,김재우 동점골 환호,http://v.media.daum.net/v/20191011212458878?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,7,김재우 동점골 환호,http://v.media.daum.net/v/20191011212452876?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,8,'손쓸수 없는 김재우의 슈팅',http://v.media.daum.net/v/20191011212445874?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,9,김재우 동점골 환호,http://v.media.daum.net/v/20191011212444873?f=o
NAVER,대한민국 우즈베키스탄,0,DAUM,10,[한국 우즈벡]경기 기다리는 김학범 감독,https://cp.news.search.daum.net/p/85085750
NAVER,대한민국 우즈베키스탄,0,DAUM,11,"김학범호, 김재우 동점골로 우즈벡과 1-1 접전(전반 종료)",http://v.media.daum.net/v/20191011213120967?f=o
