ksource,keywords,knum,nsource,nnum,title,url
NAVER,프레시지 삼시세끼,0,NAVER,0,"프레시지, 12일 `삼시세끼 신촌편 밀키트` 천원 특가 이벤트 진행",http://news.mk.co.kr/newsRead.php?year=2019&no=823292
NAVER,프레시지 삼시세끼,0,NAVER,1,"프레시지 삼시세끼, ㅁㄹㅍㅅㅌ 캐시슬라이드 초성퀴즈 정답은?",http://www.siminsori.com/news/articleView.html?idxno=218906
NAVER,프레시지 삼시세끼,0,NAVER,2,"프레시지 삼시세끼, 초성퀴즈 정답은? '명란파스타'",http://www.kyeongin.com/main/view.php?key=20191012001111151
NAVER,프레시지 삼시세끼,0,NAVER,3,"프레시지 '삼시세끼', 명란 파스타+스테이크 &quot;단돈 천 원?&quot;",http://daily.hankooki.com/lpage/economy/201910/dh20191012110557138060.htm
NAVER,프레시지 삼시세끼,0,NAVER,4,"프레시지, ‘삼시세끼 산촌편’과 콜로보한 밀키트 단 돈 ‘천원’",http://www.newsway.co.kr/news/view?tp=1&ud=2019101210363098857
NAVER,프레시지 삼시세끼,0,NAVER,5,'프레시지 삼시세끼' 캐시슬라이드 초성퀴즈 ㅁㄹㅍㅅㅌ 등장…정답은?,http://www.yeongnam.com/mnews/newsview.do?mode=newsView&amp;newskey=20191012.990011108081937
NAVER,프레시지 삼시세끼,0,NAVER,6,"눈살 찌푸리는 마케팅 됐나…프레시지, '삼시세끼' 감동마저 파괴?",http://www.newsrep.co.kr/news/articleView.html?idxno=92672
NAVER,프레시지 삼시세끼,0,NAVER,7,"캐시슬라이드, '프레시지 삼시세끼' 관련 초성 퀴즈 출제..정답은 뭘까?",http://www.woodkorea.co.kr/news/articleView.html?idxno=31838
NAVER,프레시지 삼시세끼,0,NAVER,8,"프레시지 삼시세끼, 캐시슬라이드 초성퀴즈 등장..정답은?",http://www.straightnews.co.kr/news/articleView.html?idxno=57343
NAVER,프레시지 삼시세끼,0,NAVER,9,"프레시지 삼시세끼, 눈살 찌푸리는 마케팅…'삼시세끼' 감동도 파괴?",http://www.greened.kr/news/articleView.html?idxno=217648
NAVER,프레시지 삼시세끼,0,NAVER,10,박서준이 뚝딱 만든 '명란파스타' 프레시지 삼시세끼 특가 만나고 100캐시도,http://kpenews.com/View.aspx?No=273910
NAVER,프레시지 삼시세끼,0,NAVER,11,"'프레시지 삼시세끼' 캐시슬라이드, 'ㅁㄹㅍㅅㅌ' 초성퀴즈 출제…정답은 '명...",http://www.asiatoday.co.kr/view.php?key=20191012001049344
